productName,warehouseName,TotalQuantitySold,TotalRevenue,quantityInStock
"1992 Ferrari 360 Spider red",East,1808,165323.52,8347
"2001 Ferrari Enzo",East,1019,114341.99,3619
"1952 Alpine Renault 1300",East,961,111206.92,7305
"2003 Harley-Davidson Eagle Drag Bike",North,985,101100.40,5582
"1968 Ford Mustang",East,933,92581.59,68
"1969 Ford Falcon",East,965,86821.05,1049
"2002 Suzuki XREO",North,1028,86711.80,9997
"1928 Mercedes-Benz SSK",West,880,84647.20,548
"1980s Black Hawk Helicopter",North,1040,83636.80,5330
"1957 Corvette Convertible",East,1013,79895.31,1249
"1917 Grand Touring Sedan",West,918,76469.40,2724
"1948 Porsche Type 356 Roadster",East,948,75005.76,8990
"1962 Volkswagen Microbus",South,1029,68377.05,2327
"1976 Ford Gran Torino",East,915,67252.50,9127
"1957 Chevy Pickup",South,1056,66316.80,6125
"1932 Model A Ford J-Coupe",West,957,65698.05,9354
"1999 Indy 500 Monte Carlo SS",East,855,64330.20,8164
"1998 Chrysler Plymouth Prowler",East,986,61348.92,4724
"1903 Ford Model A",West,883,60300.07,3913
"1969 Corvair Monza",East,963,59648.22,6906
"1940 Ford Pickup Truck",South,999,58281.66,2613
"ATA: B757-300",North,973,57718.36,7106
"1958 Setra Bus",South,972,57124.44,1579
"1969 Dodge Charger",East,992,55978.56,7323
"1993 Mazda RX-7",East,947,54954.41,3975
"1982 Camaro Z28",East,997,54456.14,6934
"1997 BMW R 1100 S",North,1033,53550.72,7003
"1965 Aston Martin DB5",East,914,53450.72,9042
"1972 Alfa Romeo GTA",East,1030,51829.60,3252
"1964 Mercedes Tour Bus",South,1053,50407.11,8258
"1996 Moto Guzzi 1100i",North,999,49900.05,6625
"1969 Harley Davidson Ultimate Chopper",North,1057,49562.73,7933
"1970 Triumph Spitfire",East,945,48856.50,5545
"2002 Yamaha YZR M1",North,992,46812.48,600
"1937 Lincoln Berline",West,1111,46795.32,8693
"The Titanic",South,952,46724.16,1956
"Diamond T620 Semi-Skirted Tanker",South,979,46463.34,1016
"1961 Chevrolet Impala",East,941,45647.91,7869
"HMS Bounty",South,897,45468.93,3501
"1941 Chevrolet Special Deluxe Cabriolet",West,1076,44428.04,2378
"1995 Honda Civic",East,917,44346.12,9772
"1956 Porsche 356A Coupe",East,1052,44320.76,6600
"1970 Plymouth Hemi Cuda",East,900,43092.00,5663
"1932 Alfa Romeo 8C2300 Spider Sport",West,866,42234.82,6553
"1913 Ford Model T Speedster",West,1038,42070.14,4189
"1992 Porsche Cayenne Turbo Silver",East,867,42049.50,6582
"1928 British Royal Navy Airplane",North,972,41484.96,3627
"1949 Jaguar XK 120",East,949,41395.38,2350
"1917 Maxwell Touring Car",West,992,41336.64,7913
